SHA,commit
ee06f4288378c47ef3efbbf6e8c4c9fd3552f246,add data
3fdc36bd98b34a853c1f0a531f0664a1ea855b62,Update tree_table_0.csv
d23c80296f126439690b7f0577ca3180725d9962,add data
d9d2f0fbdeb83f6110e7681510dd44d963f40fc2,spp fix
7e2b311536c7cb523c2fd5621ffb1270029c7e0e,add data
a7a3b7354162156d20de8591748e0867f98bc5e6,Update CI_QAQC_reports.R
97026e7a7bdf84324efdbacd97377615382915f2,add data
27652aad3d837f3aa106218e5a000458ca9793ee,Update CI_QAQC_reports.R
dfbbaf92968bfdf262f60574e98f94433172b394,revert change
33f1382a90eae71b24740b27c9743003ec39024c,trying to fix CI
f7ae5dd1f52d23c87c3c1d175b87952033137fff,trigger CI
18be682f7f90c4eca41e87df1d2c632175acb392,try updating crs grid
7fcfbb1c61e72871b2abc1ad8f6dc0ad64640a9b,load species table
b8a3bd4b8d4734bbe967d39fc487ea8b9ecc7596,add check to flag species not in sp table #64
7840c927214db70a7e0fb72fa7163dcc6c8591ad,fix species, coordinates and quadrats based in data edited in app
a1b9ff8ee3bc7f6452c4584863f456ef4088f289,add check to make sure lx and ly are populated #66
04f1b3662dacde2815840cde8d46562dbdc3f46d,add check for species id #64
ad17240f0d2d1c1397cf8cdcda1c87cbfc4de53b,add data
dd5e83f6be4c5a7d54d126f3920b642788b57eae,update raw data - sp fix
8707cb9275d3074e9ab8949eb0a3116aa764ab63,add data
99202dc2965180fd5af6a2a1d6fc2ac5db13aecf,Update raw data with spp change language fixed
3454fa16ca695478fa9d8e600842de11efd9e317,add piece of code to save mortality data in mort repo
79cd9ea31f8ad3bd9f9bb5756f566ad52a2ee134,Create SCBI ForestGEO Metadata.csv
1c97005f7885e9c500931a2bd68206ff8dbef5e1,add data
ea1c7233795e39c4f4a88b6e62129765969797e8,error fix feb 7
68ad4e897ad6795ca629d356f0eaed271b2a7957,add data
4cd8b70af31df3a02d6daf5c623d74aa64c0c9b1,add check for dbh<10
0f673bc4d61d641d329bdc55de8aeb72c399dfc6,add data
5661e6ebe30c7e6b91bd84038ed599a4e93f7014,Stemtag fixes
1d0c8761db388bb6d8b347d9e4eca75a3f75f642,add data
5ce75da3b70a7dd666f546a924352ea98fa360b8,update hom error
6c1a404c50b4ac44c3fb69bfc239ff35636c711d,add data
fa270e4bd725b6d74858d43b63c93b56fd9bdf58,Update tree_table_0.csv
f5d4e134f5c1bb45bf0179a1191db386e3fb3bd2,add data
a7ddf5cb780ee11c2b56dc870a2e1e60600f7873,Update raw data with final quad fixes
b4207dbdb0a6334a381ed932bde850ecc619c442,add data
d762c7e15cee4d9f9dfb3bae1bc41a9563e4686e,quadrat fixes
51297ffde7c1aad05cb42f3d0acc3ce8869401e9,Add recommended QAQC checks
5c53095579a598f5b902909cf651e2ff1d611590,add data
e17e55fcf1acf0e9af3464f8c53825a88c6deef3,update raw data with more quadrat errors
fb7f3e4c981f24cfba1a7e65ef55a88da2d81410,add data
40922ee6641a417c3ac3f022342a85facf91b4b6,Merge branch 'main' of https://github.com/SCBI-ForestGEO/2023census
97af9504bc0e149e199931bfbb8f4613eeb18a6d,update raw data 1/30
6e731445f43ccb4cab81ea04bbaf770a0999776a,add data
f24b025393813dcc189501249d8b4e58dfd5b252,change error to warning and ignore warning when stem4 is built
719dd3443a49bb96af4a378fb906fdd1e50afb5e,add data
0b13a0dfa3f3956808abd39a117bf5acb89e5f75,Updating raw data 1/26
d3e59149106d3ff8112b7bf2a0090c9715d4cfe3,add data
1ce3a15849c5ba364c96495a78855e86b7efabde,add check to detect if not same quadrats for sister stems
759f22d5898b94f79c69717b6eb2b60902fc2e3e,add data
c0f382316d8603ce4a2f3fd364c390a7661935f3,update code to handle new check
102e00c813ef0f5fb601e73bc4d9b58ce10c13a4,add check to detect when quadrat is NA
f89fde4bb497628868969e1871d70fab88362480,add data
cd4f7b638feaf2842f9d1561ef1e7c10d51dcf48,Update CI_QAQC_reports.R
7e526d082e519d7f0e0683e111c0fb89b08a5574,add data
7b008fb7e20654fdce46c7e02c903dd42d31a722,fix CI
882cb6a4397638b502dabad718f4c858ddb50d2d,update raw data
4e34ccf61ac32ed660efcdf015f830adafe223d9,add data
7660d9564b8ab18baf5bdd4da2d05194d6c2e6c6,Fix warnings part 2
91a5b179e5938254f68bb49abb501965a7a93ab7,add data
a3ea307972466b9ebeafaf5726130576874af541,update data with fixed warnings
02eece98775f801be4d63631fbc6dbff3ea9bd9a,add data
3f62a1fa0c234e4cc7d361f169cfa9bbd0925782,Fix warnings
3f45724838e104ec865b39160b1ea3a6f008a472,add data
cdf56f316c649d552737ee2bd988e3754d3f8876,update raw data with big tree fixes
15d1159c06e3a6303d405e9f0df9b6f27ef8c8e7,add data
303290a7c8fdca9087ff05763eeae3b8e0db6361,Update raw data
b83e2ec61ed7c5b170df0e2312d79434f82b73aa,Create Before the Next Census "Wish List"
8c12e36a70ca39c5b72ed36b3d635b318a23db62,Added errors to be resolved in field sheet
a852018c1abfed4fc33a38224624519046f39093,update 2023 protocol
00fcaa7fb54f2d78176b380ba223f5590bc70ebc,add data
b64505f3eeccab004d5b31bfa80f8f3472c8de2d,Update raw data Dec 4 - Errors
5d3f80c6f41e2df06dd4dd6d422a83bb377596f8,upload list of tags to replace
9031838eb9eee80f2fea21a92257e8e3214c6997,add data
b30369af6a32b0450d5dd35657e40d6e56020bb2,Update raw data - Last day of census :)
ad9a690ecd9e1d818d20c986e5210796b14f4c97,add data
5025455d2ca78ee2cd194f554e88b9b8055e53fb,update raw data nov 29
0c6b56ac110568705132ca4ea765d55d3765b772,add data
410293dbb7f3550cc7317fff9f8c8421d7b90daf,update raw data
9f1a2bf1af8eb99a102c78abecbf257ce6650a73,adding a couple more things to the protocol
17bbe779ab340cd919e8c15ad05f44921770d395,add data
4d79c2454af0bc53e6a0478e002a703b536ed2d5,Update raw data
5fd8cc24944809944a6f1f019928fbb1927450ac,add data
caed19e8f357bd5d4f143d862da92052d19d9dbc,update raw data
82ce269242d21bf94744742d1348191a6b38b929,Update scbi 2023 cencus protocol
ce76558fc053e36a686c101485d669ef12f2ca1b,add data
99a12989a83953193dfab48c7ebd903656f29a0a,Update raw data
7bb4253c4261c0a2ebfae42a5068afa0e2f22262,add data
05b46c04d1319cdaa597d059e01f394ad5d8fc58,Update raw data
9adc3ece02a37fb3b5a3077c79cc918485779667,add data
83a33cd45ce039d9b15d1a9ac903126360888b74,update raw data nov 16
4a60ebed83f0e1057bb5f782c7ad83f28714be04,add data
e7cf1589b64a3ec9a5e5c6c456b7c25f2160fe88,Update raw data Nov 15
1da0bad0683361180720f33d8f9c8252a6f87574,add data
7a14411060b68c2013f32d1d9a54ef3a8339623d,update raw data
77d2534206e6fd04d6a91bcdc644811f8be3d6b0,add data
1d3e0c05a6106e5bd045a842a69f98f388d7a8a2,Update raw data
5c42c2cb9f3ce57199e86bd43f90dc934b972d24,add data
85a180555b7763976e818d53f7b6334aaaae85dc,update raw data november 9
f90c8868227633a02e11208c1610debf7c9696dc,add data
5c270797a9141c8b226d25f8e82d5f0cd2a9164e,commit raw data 11/08
47b035bce1d40f693f49eb3951f7e93b7bcae39d,add data
d07a75c8e048766a260d590c46872ae4831a8020,update raw data
0d84705865d7106aa4d771cedcdae50c123217d7,add data
d160e02e1350d9f8c0c63cd8eec35a59a0e6599f,Update raw data
7a3e78464e5a5c42a1921dd915da96cd788005cd,add data
7f8d5e9207d7c7e0f74a583f1c31d5b3091bdc1f,commit raw data 11/03/23
0bf3dda0a8732ce96a5d98d7bfb8ab4205bbc29a,add data
06132d3fd6f345859d022ad684830e2479c1c92f,update raw data 11 2 2023
5cc7c869d1647721cd91bf43f533e37501265252,add data
197a4e82d921cc09381bae386a70fe903aebf36e,Update raw data Nov 1
06ae4d5600700104c5be559caaff71188d7d077a,add data
cd8ba2d88c6fbb5727f9e2fcc8178db0628b9b77,raw data update
21db9793a4e8f573755498de872a05d8f831d4c2,add data
84c0260cb289747a0af68efe86f6981487c86d40,update raw data Halloween part II
e8860b1f6bda448d093f3e25373c5d85005047ed,add data
800a055dbb454c848c2d5e5a4a7c9c1a6f3dacbd,halloween data push attempt 2
438866b8b05902f5fb7b5a39dd22414b063fd6e5,add data
ab9ee1ebd869ec10446cfe9289725fd1c44cd015,commit raw to main 10/27/23
a07e1cba4bbfd1bacbd90765cbe4bcd9e7b5e06a,add data
5de2f68429ba2e7b51a3ca4660495113aac48a35,Update raw data
d2842a0171d6a8b5088d0b5ce4c0b70c181292ea,add data
a89922cd0e22c583cb77a53a3ff7c628d02415b6,Update GitHubAction_checks.csv
7db36e33ebf763fc167d20581db8ada7c9834528,add data
6dc1fb61b0c6cc32654d58ff504b0cf05f8fb881,update raw data 0ct 25
eb59c6bf9b4d2ea4dfb68d9a693aab2ebb22c42d,add data
4a635fdc839e64b5cb5bad4508651a4bd927512a,raw data update 10/24
e89565df53e6d337695acdce7eaf19a4f1f7767f,add data
bbe64cef327363986bd6fd975096a7396184a576,Update raw data
2d95c638e7fdf3099d9ee9e347a7e36f01af4773,add data
bd38c64016dfcfb5a361c0637b3c3ad76ca1f8c9,Update raw data
0e1669dcede4df49152f290663ca86a1de938336,add data
e3e759a78df24bb32b1c082b518ef7ba4c3ca916,update raw data october 19
8fa3f53552853df76d4f67258e1062cece2c93b0,add data
c1fc09b56ba09b3558bbc6de63d4917872747c41,fix map
a0865cb5e34b56ded114f423eb58df62b23df845,add data
d4f2596611d60d474777a91a2668da12845b4f0e,change rgdal to sf - this should fix GitHub Actions
248e98b823810e4084e3c859dd3767c4cad594fa,commit data to main 10/18/23
25d1d4d43b9b0b68b73cd3b7678e8e278bb7f9e3,update raw data 10 17
613638f1e022d69e1bfa5a1affa8ea6e8963925a,add data
060a679c5f3241b25f4f49dee8988e706ed657d2,Update raw data
c24a3aa1ceb4462b7b999e2213f1b40501d0306e,add data
8abf64312334cddae0140ac1d8f3efb45fb37c28,Update raw data
e73d107664e2e331f8d9c0e93d3d43004bc9e704,add data
e84150a1f6ba10814dcc3e85db99b11e9f9077f6,Update raw data october 12
cf8036cb9afad070a4b06fcb4469d00c2480cf59,add data
ce3ecb69a73f6cd7d7f69da25b4dcac104591e44,Update raw data
fac12dd3d945ae257547fad4f573c6f0de724115,add data
4fdc10dedaf7ebecc3e645479799046e27c98835,update raw data 10/10/2023
389566d954d7688bc13d4c042e1595d4be20fdca,add data
95ce920ae650f4ae96d98aacc201fcf693fd35b4,Upload raw data Oct 6
55d36a64c5d732030de2067cb2a04c966dc7580d,add data
b6c466b07e795a48aa588f0299a447c1c562a4a8,update raw data october 5
d1183010021e4fb1a21913ca52a8e4b7e6a51fff,add data
79d74bf6b005442650c6f06e426cfe6431b4d349,commit raw data 10/04/23
34e5c8555e4278e49fe0f9e91cabfc7f94be2068,add # mortality stem to go to dashboard
ff41c6b75813d0e81f013253716ff3b0c2d12dde,add data
e8f79e97d5e0d16107addcab02cb444d51c9b4f6,update raw data 10 3 23
567002ba46609fe2942c7c39ca77b846182b0c6e,add data
ff26ccb2cde7263aa49eb3df534c15e80c4d1ba2,Update raw data Oct 2nd
f2da274e20aa3a600d313dd1714ff1e2b6e9c96c,add data
96bc13cd6a7f7d3254a2b70dffba396717a78788,Update raw data
b35f6b06359815db4b172b47516fa071f17ee439,add data
0ebb014ad42294a9f6f1e248522044992420ccdb,update raw data sep 29
0c85d1316f394ab016ce30e410457420fa9739d0,add data
d401f0977700dfb14031d84ae699b819579ac08d,commit to main 09/27
fca0bcec3f2002f32e8d740933ca17da4ed3a1ad,add data
ca2393e2786457121e50eec8a0ec63925937597a,update raw data 9/26
cb32783cc568e1d5157901da7721e96170d85a7e,add data
0aacd27d9ef020071e654af4d739c19c3eb6e9e9,Update raw data
abedb56f1e156598174f200e5e2e44a8e387c973,add data
f156e1cf9d4a63db72ec6cd21a64b8528ded9330,Update raw data Sept 22
b47fc545b74468b117acfbfac29f0baeec9a0071,add data
2e4a6e14bcb54a7cfc513bb44804ea665f1af6b9,update raw data sep 21
e6cdf8893640f0b0a8ea6ea36b2f4665ce347f82,add data
b29146685557cc29e8d85366ca095655ce1e49da,commit data 09/20
1c3f8d60f8e2bebe6df421d98ccb4ef3ac65db0d,add data
4377e9a80578a56d16ca9f6a45c8bf68848e656a,update raw data 9 19
1cb4cb488165737649efa94eacc8840a8f4803c1,add data
35abd130902fe9295013dd62efceffe30e773791,Update raw data
9b9252c777025f65a1f0db0e44e3992a35b90bd5,add data
705f1b30b765729cb0be83c21d8df678c680b3e2,Fixing mortality completion status #51
745320d5f09a6c82a2276415847331cde2e41694,add data
5e3506fd15351bc48ade2e409995907e34f92c6a,update raw data  9/13
84ceb2981063573ab2ad914ebab47b281ab80f96,add data
a35a533290f9f06e84160a91bb71943f172cf8ca,Updating raw data 9/11
474557bf671809653c3a0a6155126966da9df38d,add data
4bbf8227c4849976b53f5a893ece831be52f456e,Upload new data
19125a3930f50f18265ad4ec8bcc1de59e8b4f72,add data
d191de3e6bfa9a9131b534b082a236989fdb6d21,use code "SV" status verified
1a54e8d81117c189d0cb15fa0946aa30ade4a4fc,add data
6be177be2cc789fa61e3fa257a22b8810a17fe3b,update raw data sep 7
c3b669a3e867a253a90fb4133588d4c43fd50e59,add data
b4629013f38adf58cefcc18b163ab6f710194831,update raw data 9 6 2023
8ddf5f7a1de35502a2e143370eb2d14db400486e,add data
be569d4fecfd04c49cfc1612257e9a1f39367bd7,Update Raw Data Sept 1
d9ca2d08f2f4cbb7e4edec82aa2c183f976c087d,add names to protocol
aa4b6cf6b2eba0a0fab6421ffbbe6358770b03f9,add data
f87ee33d537b98fee38e9d463060ea3d1c8911b3,update raw data aug 31
10f8c8eeb465c3401e197dd3ede450145d559b1f,add data
fcd3de3c0e9afb3931147f501bf70cd6050be1a6,Update raw data 8 29
0e20762de0018bfdb4dbc74006eb7736746f2f76,add data
5ecdc6e7a8b4f2b1d3fa3a78e9bf06a977a68811,Update Raw Data August 28
c32df63d39c46394b22a7c16732c94413186b534,add data
9a50f5d945d3701e72021cdb9eb8189a09553d7f,update raw data
ae31cd1b51d2db33a8020966927e250db20f2087,add data
faf2484dbcc921b07537130c240a3f174a615cbb,update raw data august 24
5e52a349f4decf76ced96b74c41453ccc2834297,add data
0c773e7b7cb2e06970eb3bd04e14ff3131b9b881,Raw Data Update 8/23/23
153359ea893ad397bf348ee9bdd9f60a484786ac,add data
ae877cdf85b59bec3c3ca58c90320f1f5fab5393,commit raw data 08/22
602ca988933cd28d613e7c46aa8f05c3f1cac59f,add data
097d31e97b785b6dbe3b68c11b2fe4be9ebd6c9c,save DailyRate.csv
03759cd9e03bea4c80f8b34ce684d0b9497e62ab,Adding mortality protocol to GitHub
3ce8b81716c5b923c166dbc0fdb53b62e74c84b4,add data
8d1d2c9818161bb511f7cc972586542a8ec9162c,Upload new data
d4db573320a62ec725bfdb1dcfb78aa0e198772d,add data
479822b02120d40ab34c3671caddc2fe0cf32ae0,Update raw data
733ca1e8cba09844bcda9b509e82b4d1c52e8e58,add data
329d5c62c00d56986c2394274b751aa4c674518f,update raw data take 2 august 17
5b0e653fc40ca9ab118d58ce4b97b540a026815d,add data
2f441f38890ceee38785f59580d875f92ab1b95e,update raw data august 17
15925cfe312f4ba7da965cb586760986355aa6ad,add data
496a049a7624fbb28eca3aad00a1f74652b37dd8,upload raw data august 16 2023
29cbea35486f322f57e7ddac29c0a7f2e860d7aa,add data
a527b614a82788b8aa2c695c42344e8024885377,commit raw data 08/15
07f35aae6e5b5b81ac51ebbfa3d0b44db184d81f,add data
022b5505363d91ce9705346ceaab0e5e7bf3e512,update again august 14
7a66d30a87a66bbcd013b826e92bd8a83fe7ab05,add data
bfcaaabdb86d1739afb2c9982502b59dd83a5d9d,update raw data
56d4fb53783a25b862589d840b29ac725b3ed6f5,Updating census protocol
346bb9dd2955cddf62043dc36cc2d65477268590,add data
d401ca06131bf1ad0843658e1f169e55849edd5e,Update raw data
bb0604d1720a2e7ef79946d546b7069f645913a8,add data
f2a64c2bde8ca054e6a1c01dba4bb4d7eaf25e8d,update raw data august 10
59656115cbf59eb3b093c8de5fcab53d04beceff,add data
85fd750c1a402c1554202f64eaf832c0f03f84c9,Update raw data
0005cc695de4fb3f5937c6b1d07f5def6ae5e8d2,add Chris
9d95f573966698cc83315e3c23ec4cab9c863879,Update README.md
d17eb2e3bfd34aea965346cade45243a4e6a2873,add data
c97fb090a9f0c7c53effb1b038fd7713b3301f86,Update raw data
a6608a68d2bc91cdb54a7eae782d452a85002169,add data
7467d21b5296266b9db18b8d066422e572a1d870,update raw data
1b2f191b9fb4127ca0bbee5aa07e9bfae5a30bb8,add data
6198860fb7e01b95ec0330522bf659bc4d48421b,update raw data
8923ee0bb22d9223b88ceb5644c595d7656e1b4b,add data
d1326dbe7e1549d3afa48096ff2a1b641a15cd4b,Update raw data
5540be7012d615d0e29d44e9b096c9f499ae53d0,add data
